"","flow","mean","std","minimum","maximum"
"1","ISOPOD->CALLIO",0.00145342538892146,0.00127357009718753,9.00087770024276e-08,0.00930985589427119
"2","DETAMP->CALLIO",0.00417037021820423,0.00364501652619881,2.6282962159327e-07,0.0277491052294077
"3","DPAMP->CALLIO",0.00210342296425225,0.00191774236763888,2.37760805906981e-09,0.0157360457734004
"4","DETSHR->CALLIO",0.00304781764624859,0.00284145852249215,3.12879670670487e-07,0.024324625777666
"5","SUDECR->CALLIO",0.00469667285415133,0.00408067628856526,7.36107803007065e-07,0.0316856069599351
"6","PAGURI->CALLIO",0.00235835619340271,0.0021250894445117,1.6060598189704e-07,0.0156566943518856
"7","CARNCR->CALLIO",0.00198685125549767,0.0017402892238587,1.00255359751442e-07,0.011682019905362
"8","OPHIUR->CALLIO",0.00227431049190863,0.00202245072462929,1.61394840867808e-07,0.0136427842960972
"9","DETPOL->CALLIO",0.00198111946109421,0.00167532450780479,2.41829244908634e-07,0.0111050027303719
"10","NEPHTY->CALLIO",0.00205356752922908,0.00177054823179792,1.06341226681086e-06,0.0115010623971479
"11","CARPOLP->CALLIO",0.00026265467683231,0.000248839427183985,1.00878559735693e-10,0.00199969762965769
"12","CARPOLC->CALLIO",0.000122399425018866,0.000113815447997585,1.90970706357932e-08,0.000913628084966871
"13","CARPOLPC->CALLIO",0.00184321983232362,0.0016847373189059,8.15407119950157e-07,0.0135919652063411
"14","SUSWOR->CALLIO",0.00363845587948983,0.00335901824322014,9.38100743702274e-07,0.0263553429657241
"15","SUSBIV->CALLIO",0.000732196905823164,0.00067592208066139,1.74737664983987e-08,0.00454396132740953
"16","HSUDEBI->CALLIO",0.00406524427723875,0.00349203290365723,1.02451167165219e-06,0.0262112180911628
"17","SUDEBI->CALLIO",0.00489010174661355,0.0039898829655888,7.81464514214231e-07,0.0264752568804328
"18","BROGAS->CALLIO",0.00168124391348764,0.00152154899361701,5.19003189921729e-09,0.0109179095666149
"19","SUSGAS->CALLIO",0.000181479912541356,0.000161767529731667,2.78682342459194e-09,0.00111188220801825
"20","ZOOPLANKT->CALLIO",0.00418862933664695,0.00382716219220237,3.53435319632583e-07,0.0246494553866373
"21","GOBIFO->CARANG",0.00129434464125868,0.000301504385328865,0.000378321605721234,0.00237779489412505
"22","ISOPOD->CARANG",0.000163752757539622,0.000154728923353625,4.34331863629225e-08,0.00116005147467211
"23","DETAMP->CARANG",0.000300604332541911,0.000275423188885716,2.13846003246137e-08,0.00204845266527057
"24","DPAMP->CARANG",0.000292524522733011,0.000271299858725739,2.50549434360294e-08,0.00218469084845072
"25","DETSHR->CARANG",0.000720643490193942,0.000603412758141678,2.94468039983602e-07,0.00406840336807174
"26","SUSBIV->CARANG",0.000328318811535811,0.000305006373299607,4.28163801252816e-08,0.00270982061153313
"27","HSUDEBI->CARANG",0.000267670436804045,0.000249128415133832,1.28123599790563e-08,0.00189106056633191
"28","SUDEBI->CARANG",0.000279314185178557,0.00025185092100359,1.84985668586376e-08,0.00176682851373864
"29","ZOOPLANKT->CARANG",0.000389213285334817,0.000357131240769216,1.27249731063893e-07,0.00279802435244593
"30","CALLIO->GADIFO",0.00142172100367278,0.0012891405255521,2.32312608863999e-08,0.00954096756001223
"31","CARANG->GADIFO",0.000502919897162073,0.000343683826941453,1.06503146723438e-07,0.00164795900019321
"32","GADIFO->GADIFO",0.00432708006129401,0.000724349964845969,0.0010874109638056,0.00624996455397084
"33","GOBIFO->GADIFO",0.000301669670570741,0.000267730599662609,1.22228784002102e-08,0.00192141342987193
"34","PERCOI->GADIFO",0.000128325535595635,7.53995108895983e-05,1.01543499980011e-08,0.000289585499818724
"35","AMMODY->GADIFO",0.000331821431463462,0.000279187784146312,7.11996866278531e-08,0.00161493931849145
"36","PLEURO->GADIFO",0.00182152789308451,0.0015292056901821,8.17783909582174e-08,0.0105394704903715
"37","JELLY->GADIFO",0.000715925964751525,0.00068181590957644,3.10193346772832e-08,0.0058600725574376
"38","CUMACE->GADIFO",0.000212402661170463,0.000202348452906242,2.04223703495208e-08,0.00139582976347186
"39","ISOPOD->GADIFO",0.000173073856863295,0.000161840601572556,9.47672251595458e-09,0.00148836810153117
"40","DETAMP->GADIFO",0.000257255659246681,0.000243038448426599,5.10691980816486e-08,0.00201754063543444
