"","flow","mean","std","minimum","maximum"
"1","DETAMP->CALLIO",0.00145968775886324,0.00127083687118579,3.11009285475591e-07,0.008342014063305
"2","DPAMP->CALLIO",0.000855403233892514,0.000804202273397951,5.04569620873819e-07,0.00769325750159959
"3","PAGURI->CALLIO",0.00165095975565376,0.00150091141984521,7.80906232991294e-08,0.0113266020924489
"4","CARNCR->CALLIO",0.0015157169784529,0.00132496651928103,6.69240611016371e-07,0.00905377222810251
"5","HSUDEBI->CALLIO",0.00158291177410093,0.00142412967977472,1.38947284290202e-07,0.0108801744683728
"6","SUDEBI->CALLIO",0.00165317755399296,0.0015604116498195,8.87719948775137e-07,0.0116846503477059
"7","SUSBIV->CALLIO",0.00153314499365764,0.00135407011201164,3.83614193766768e-07,0.00902791055519743
"8","DETBIV->CALLIO",0.00141208342594414,0.00119117859838151,1.93973499556686e-07,0.00941656542298551
"9","SUSGAS->CALLIO",0.00014585498954719,0.000134694795092501,1.00267510555214e-08,0.00101475275694101
"10","PARGAS->CALLIO",0.000346499336430394,0.000326412383732048,1.60254338183691e-08,0.00257367676860079
"11","SCAGAS->CALLIO",0.000661464195393466,0.000623014478622589,1.63233716292476e-08,0.00577824172869579
"12","BORGAS->CALLIO",0.00155358150887366,0.00145875396318263,4.00413913213928e-07,0.0122903361742238
"13","DETPOL->CALLIO",0.00165413740948566,0.00160907001365109,4.53393159114399e-07,0.0134256275708809
"14","NEPHTY->CALLIO",0.0016589792394622,0.00150265436267644,9.42194444692856e-08,0.0110479550852508
"15","CARPOLP->CALLIO",0.00163895939701383,0.001553875609171,9.92988377851792e-09,0.0120344430064371
"16","CARPOLC->CALLIO",0.00146746702252167,0.00127553286119209,1.59704332692846e-08,0.00942495902859893
"17","CARPOLPC->CALLIO",0.00171945461845245,0.00162800773565682,2.57574375071276e-07,0.0135224296386018
"18","SUDEPOL->CALLIO",0.00172718637091799,0.0016453488641649,6.79981283502329e-08,0.0139069615046802
"19","SUSWOR->CALLIO",0.00143548686176268,0.00132571523771705,1.33247388859053e-07,0.0102878052727015
"20","OPHIUR->CALLIO",0.00157074794892788,0.00133107336595648,2.84555902531445e-07,0.00809358664953139
"21","PSAMIL->CALLIO",0.00162730542876051,0.00141828852120514,1.48921846807384e-08,0.0102524805457131
"22","ZOOPLANKT->CALLIO",0.00161966830882623,0.00148399964397602,3.31918778525599e-08,0.0113184159627075
"23","CLUPEI->CARANG",2.46135441641584e-05,2.28996644863676e-05,6.36339416272905e-09,0.000180398510117368
"24","GOBIFO->CARANG",4.02564484794068e-05,2.31349334398646e-05,1.40880967429305e-08,0.000117501463875075
