"","flow","mean","std","minimum","maximum"
"1","DETCRARS->CALLIO",0.000969646368440833,0.000906682156279598,1.972994e-07,0.007721844
"2","LANCONRS->CALLIO",4.69558706924564e-05,4.42229784093419e-05,1.473461e-09,0.0004632231
"3","SCAGASRS->CALLIO",0.000891941787881535,0.000821206069474059,2.115987e-07,0.006801007
"4","DETAMPS->CALLIO",0.00126498476697748,0.00110550915849964,1.86224e-07,0.008003052
"5","DPAMPS->CALLIO",0.0007991337991082,0.000754388659130736,5.885539e-08,0.006737842
"6","THISCUS->CALLIO",0.00117381677687096,0.0010508646101159,1.25027e-07,0.007706283
"7","PAGURIS->CALLIO",0.00121479793288743,0.00107121714224648,2.983897e-07,0.007343433
"8","DETPOLS->CALLIO",0.000967468124011449,0.000935869089489798,5.669455e-08,0.007918752
"9","CARPOLPS->CALLIO",0.000713167421663727,0.000621447817531827,2.075007e-08,0.004342486
"10","CARPOLPCS->CALLIO",0.000805100669804855,0.000736361022805146,9.859278e-08,0.005314709
"11","SUDEPOLS->CALLIO",0.00127764520523003,0.00108546806862455,2.854765e-07,0.007201358
"12","SUSWORS->CALLIO",0.000482463393933139,0.000458638589238271,6.665145e-08,0.003426881
"13","SUDEBIVS->CALLIO",0.00111613277558957,0.00103032144018705,1.294353e-07,0.009802431
"14","HSUDEBIVS->CALLIO",0.000237116617337175,0.000222072972226654,4.343028e-09,0.002037329
"15","DEPBIVS->CALLIO",0.00116561182619227,0.000995791980201324,1.67639e-08,0.007341417
"16","BROGASS->CALLIO",9.89919992048415e-05,8.74959263622765e-05,1.284519e-09,0.0006248096
"17","BORGASS->CALLIO",0.000922615601613662,0.000863130854620055,3.830176e-08,0.006499397
"18","OPHIURS->CALLIO",0.000883788514954974,0.000801430848592734,3.792723e-08,0.005946664
"19","ISOPODU->CALLIO",0.000649001349780531,0.000592141591292874,2.59557e-08,0.004607391
"20","DETPOLU->CALLIO",0.000737946765660873,0.000659238466951774,1.879068e-07,0.005040338
"21","CARPOLCU->CALLIO",0.000124423103251227,0.000118177755651201,6.895517e-09,0.001074714
"22","NEPHTYU->CALLIO",0.000751490888431241,0.000659431846600962,1.036419e-07,0.004767397
"23","ZOOPLANKT->CALLIO",0.00122384470164254,0.00116904439521154,1.642802e-08,0.01059386
"24","GOBIFO->CARANG",3.68004870835802e-05,3.37960401218505e-05,9.893651e-10,0.0002277612
"25","AMMODY->CARANG",0.00017780200055543,0.000152963484421187,4.504591e-09,0.0009433063
"26","PLEURO->CARANG",0.00212649342358748,0.00115135071245462,5.962476e-07,0.0064805348
"27","SDAMPTR->CARANG",0.00108790638832308,0.00096948460890902,1.490414e-07,0.008576063
"28","DETCRATR->CARANG",0.000647783668105122,0.000608249847758809,9.176124e-08,0.004387193
"29","SUDECRATR->CARANG",0.00109539917262088,0.00100838552939107,3.739571e-08,0.008439133
"30","CUMACERS->CARANG",0.000634340903432078,0.000564505697701507,7.858283e-08,0.003856608
"31","DETAMPS->CARANG",0.000892112521011547,0.000785938761737719,2.498515e-08,0.005614654
"32","DPAMPS->CARANG",0.00127875057619958,0.00116252981644165,1.52734e-07,0.007986599
"33","DETSHRS->CARANG",0.00110172605868009,0.00101386642644324,8.924755e-08,0.008979362
"34","CARSHRS->CARANG",0.0017852313372979,0.00146143614166015,2.998671e-07,0.008756377
"35","ISOPODU->CARANG",0.000444665827541616,0.000416501302876389,1.02475e-08,0.003431359
"36","ASTRUBU->CARANG",0.00130001135890589,0.00117535420110012,2.55841e-07,0.007968812
"37","ZOOPLANKT->CARANG",0.00109289890430763,0.000972217012889945,3.371516e-08,0.006636206
"38","GOBIFO->CLUPEI",7.26865777349481e-05,6.12206020143306e-05,5.570964e-09,0.0003933624
"39","ZOOPLANKT->CLUPEI",0.000898288059493878,6.88925155827681e-05,0.0005886477,0.0010379052
"40","CALLIO->GADIFO",0.000360932204687176,0.000349800731846755,1.648729e-08,0.0030236
"41","CARANG->GADIFO",0.000420713076957318,0.000395065743405953,4.751471e-08,0.003228285
"42","CLUPEI->GADIFO",4.29101460133649e-05,3.7317095920278e-05,1.563285e-09,0.0002440386
"43","GADIFO->GADIFO",0.000921001728249984,0.000599565057521993,8.953524e-07,0.003131103
"44","GOBIFO->GADIFO",3.40454323535567e-05,3.1172484580985e-05,5.73027e-09,0.0002588004
"45","PERCOI->GADIFO",0.00122765153170738,0.000797993146858746,2.823404e-07,0.004453452
"46","AMMODY->GADIFO",0.00013332301049871,0.00012156429223733,7.979219e-09,0.0009390301
"47","PLEURO->GADIFO",0.000331593854052509,0.000326094815151236,2.678815e-09,0.00264234
"48","SCOMBR->GADIFO",0.000497309383318593,0.000428347491616479,3.49137e-08,0.002457699
"49","JELLY->GADIFO",0.000261802748894082,0.000257625276853834,1.606429e-08,0.00218253
"50","SDAMPTR->GADIFO",0.000157292129226551,0.000153129459686605,1.019232e-08,0.001323118
"51","DETCRATR->GADIFO",0.000160680963404035,0.000158954297244644,1.76227e-09,0.001510329
"52","SUDECRATR->GADIFO",0.00016650293952252,0.000162013384610122,7.317687e-09,0.001527841
"53","CARCRATR->GADIFO",0.000273794080387168,0.000270129859695812,4.081486e-08,0.002726489
"54","CUMACERS->GADIFO",0.000114242599321332,0.000110048170630313,1.585007e-09,0.0009299122
"55","DETCRARS->GADIFO",0.000185108906241777,0.000178921643649857,5.632305e-09,0.001696751
"56","LANCONRS->GADIFO",3.80743303693055e-05,3.6963327067455e-05,1.599228e-09,0.0004636647
"57","SCAGASRS->GADIFO",0.000220209845413247,0.000217378173747541,2.928773e-08,0.001993876
"58","DETAMPS->GADIFO",0.000135806885694828,0.000131978247983464,1.01199e-08,0.001135454
"59","DPAMPS->GADIFO",0.000195069893232658,0.000191257202241656,5.853042e-09,0.001677257
"60","DETSHRS->GADIFO",0.000174457429604359,0.000170967983264592,4.907817e-09,0.00152683
"61","CARSHRS->GADIFO",0.000216540689143487,0.000213642907524963,8.146478e-10,0.002377305
"62","THISCUS->GADIFO",0.000139087587629885,0.000135648751484994,5.636114e-10,0.001163891
"63","PAGURIS->GADIFO",0.000133042736351584,0.000128238942663706,1.060562e-08,0.001283417
"64","DETPOLS->GADIFO",0.000173970745379784,0.000171075161214734,2.34998e-08,0.001897914
"65","CARPOLPS->GADIFO",0.000324932968721748,0.000317396216941575,1.997829e-08,0.003154942
"66","CARPOLPCS->GADIFO",0.000235328761629147,0.00023155842070774,1.485446e-09,0.002385223
"67","SUDEPOLS->GADIFO",0.000126149356487073,0.000123604080633735,3.600144e-10,0.0009962564
"68","SUSWORS->GADIFO",0.000128708577139089,0.000127895402313394,1.846211e-08,0.001403779
"69","SEPATLS->GADIFO",0.000548373333408147,0.000511078267576451,2.647445e-07,0.003978749
"70","ECHCORS->GADIFO",0.000105481124269452,0.000102202272449418,2.555345e-10,0.000864317
"71","OPHIURS->GADIFO",0.000231632206975047,0.000230214121977636,1.629742e-08,0.002364979
"72","ISOPODU->GADIFO",0.000108153253496366,0.000105760561270992,6.592167e-09,0.0009297918
"73","DETPOLU->GADIFO",0.000354770900812856,0.000362876918322561,3.688535e-08,0.003973608
"74","CARPOLCU->GADIFO",0.000108381769704973,0.000104007463086507,2.567592e-10,0.000971879
"75","NEPHTYU->GADIFO",0.000300138416722754,0.000298140387332413,1.974416e-08,0.002618965
"76","ASTRUBU->GADIFO",0.000188848218497897,0.000185522947091418,3.737556e-09,0.001567759
"77","ZOOPLANKT->GADIFO",0.000159120194234787,0.000155747862675477,1.740022e-09,0.00137925
"78","CARPOLMT->GADIFO",0.000263197030672664,0.000262558448051018,1.407609e-08,0.002054869
"79","CARPOLPCT->GADIFO",0.000230350991850637,0.000225429784564393,8.703205e-09,0.002024977
"80","CARPOLT->GADIFO",0.000174712621650972,0.000169914820331129,7.763148e-10,0.001466737
"81","OPHFRAT->GADIFO",0.000174965930868936,0.000178110757542664,3.844614e-08,0.002291067
"82","HOMGAMTR->GADIFO",0.000522761234741353,0.000484936648977853,5.19845e-08,0.003857928
"83","LEPTRETR->GADIFO",0.000146205482010248,0.000142202632749591,6.375488e-09,0.001275578
"84","SUSBIVT->GADIFO",0.000141189987415677,0.00013882543847735,3.906148e-09,0.001287648
"85","SUSGAST->GADIFO",0.000200216162522756,0.000195781903352107,3.49566e-08,0.001722297
"86","GRAGAST->GADIFO",0.000206705142673623,0.000219488784854337,2.481705e-09,0.00287688
"87","GOBIFO->GOBIFO",2.23028855633683e-05,2.08030765111616e-05,1.833363e-09,0.0001496259
"88","CUMACERS->GOBIFO",3.67144378190441e-05,3.33114049894178e-05,1.580171e-09,0.0002387588
"89","LANCONRS->GOBIFO",2.38737140170992e-05,2.29585531245826e-05,6.358274e-10,0.0002533652
"90","DETAMPS->GOBIFO",3.96933680697236e-05,3.6885901860294e-05,4.015136e-09,0.0002824151
"91","DPAMPS->GOBIFO",4.56929115700714e-05,4.36222974204003e-05,3.234265e-09,0.0003901714
"92","DETSHRS->GOBIFO",4.53809099076047e-05,4.27014208673036e-05,4.16479e-09,0.000353431
"93","CARSHRS->GOBIFO",4.78395470047657e-05,4.4618554494605e-05,1.496865e-08,0.0003131121
"94","DETPOLS->GOBIFO",4.48109724413175e-05,4.28194055108156e-05,8.813209e-09,0.0003892246
"95","CARPOLPS->GOBIFO",4.79728360581585e-05,4.23284956376653e-05,1.230256e-09,0.0003305432
"96","CARPOLPCS->GOBIFO",4.86524473296865e-05,4.44570117631928e-05,1.034239e-08,0.0003524158
"97","SUDEPOLS->GOBIFO",3.84997836846998e-05,3.51685494943632e-05,3.214132e-09,0.000263553
"98","SUSWORS->GOBIFO",3.98706722963121e-05,3.76481324537361e-05,2.359016e-09,0.0003248564
"99","SEPATLS->GOBIFO",4.80936973804449e-05,3.9894300491002e-05,1.724197e-08,0.0002777913
"100","SUDEBIVS->GOBIFO",4.09537223737905e-05,3.81329169737952e-05,1.233735e-09,0.0002826944
"101","HSUDEBIVS->GOBIFO",3.68975488163473e-05,3.55864266264989e-05,7.898449e-10,0.0002688573
"102","DEPBIVS->GOBIFO",3.77210678316459e-05,3.4478117589998e-05,1.818536e-10,0.0002796013
"103","BROGASS->GOBIFO",2.97397498809645e-05,2.78350423546986e-05,2.31726e-09,0.0002369318
"104","DETPOLU->GOBIFO",4.82250867122663e-05,4.24902137930563e-05,7.025792e-09,0.0003190433
"105","CARPOLCU->GOBIFO",3.8341373514594e-05,3.48842297664367e-05,3.397847e-09,0.0002594971
