"","OI_mean","std"
"CALLIO",0.14394722543053,0.0333124209275766
"CARANG",0.252377420063099,0.0660384450808422
"CLUPEI",6.82989855283563e-29,1.42150478147721e-28
"GADIFO",0.470032591204579,0.145616998993424
"GOBIFO",0.298601297525799,0.0835593967432996
"COTTOI",0.180425751421572,0.0339072743933117
"PERCOI",0.247730191533537,0.0667041224131371
"SCORPA",0.275626532663088,0.0613686955873653
"AMMODY",1.37417065911609,0.15818320769133
"PLEURO",0.167019571769218,0.0357490744763128
"JELLY",0.239999999999995,3.52839270636801e-15
"CUMACE",4.35656514047353e-29,1.2802131196382e-28
"CALLIA",3.63301334852167e-29,6.99098523167325e-29
"DETAMP",5.09542021976487e-29,1.69727208816165e-28
"DPAMP",0.240940629989909,1.54047742767501e-14
"CARSHR",0.243318608831515,0.0790049290132133
"PAGURI",0.232551637346686,0.0195458758117278
"CARNCR",0.361106659144867,0.108267811358728
"HSUDEBI",5.17764909449053e-29,1.6098268576977e-28
"SUDEBI",0.249657617444389,0.000469018627816223
"SUSBIV",0.157440959258483,0.00344969368212688
"DETBIV",4.99647734072753e-29,1.37790958633009e-28
"SUSGAS",2.96115210708429e-29,4.01069534287513e-29
"PARGAS",0.409845514394511,0.141092956017071
"SCAGAS",0.511989683794616,0.0683740288313296
"BORGAS",0.384457471910112,0.0655600442466307
"SEPATL",0.0754499581061855,0.0158930528725646
"DETPOL",5.17752091847575e-29,1.76053490869722e-28
"NEPHTY",0.28349391320593,0.0193217580050191
"CARPOLP",0.402812208594607,0.0532631027071977
"CARPOLC",0.854200749217137,0.102328850908241
"CARPOLPC",0.457323074312001,0.0549354686612575
"SUDEPOL",0.24875095449965,0.000449554465815159
"SUSWOR",0.039930555555796,4.11020748986812e-14
"ASTRUB",0.405197674539777,0.0481248685306467
"OPHIUR",0.263750823634523,0.0934097828050885
"ECHCOR",5.50529262459508e-29,2.06883138401786e-28
"ACRBRA",0.175826402586632,0.00930384459791952
"PSAMIL",0.201953630023931,0.0767448091791243
"SAGTRO",0.133263888888886,1.96592761480503e-15
"ZOOPLANKT",4.22993133836296e-29,7.11910819533103e-29
"PHYTOPLANKT",0,0
"SOM",0,0
"SPOM",0,0
"SEDBAC",3.95625576881916e-29,8.05486560225172e-29
"WATBAC",3.28007255055249e-29,7.37896999071646e-29
