"","OI_mean_2","std"
"CALLIO",0.0800920418194385,0.0205578962874784
"CARANG",0.174607162942745,0.0371338585043011
"CLUPEI",0.0858199928832671,0.0677474631479892
"GADIFO",0.453020240607935,0.0852488858374316
"GOBIFO",0.294458608956513,0.08655363265
"MULLIF",0.153202737206325,0.0315811275993795
"COTTOI",0.197434026520841,0.043888272779384
"PERCOI",0.344889475573195,0.0575794442049968
"SCORPA",1.28965897540331,0.0376838840956269
"AMMODY",0.256440611658964,0.0605617823348781
"PLEURO",0.117859716515524,0.0309648660973299
"SCOMBR",0.0826700340957307,0.0188948737692475
"ZEIFOR",0.00609643426271044,0.000979690329840419
"JELLY",0.239999999572862,7.66072004254004e-09
"BALANOT",0.243881956979725,1.55120125128293e-08
"CARPOLMT",0.292689653067417,0.0361075225163035
"CARPOLPCT",0.313895032221111,0.0445798360829255
"CARPOLT",0.31413849829171,0.0513152529312633
"SUSBIVT",0.156431733316341,0.000637545548494446
"SUSGAST",2.62987495984875e-29,7.65224664056618e-29
"GRAGAST",3.68514646240766e-29,6.80024115010772e-29
"OPHFRAT",0.0311457738305391,0.023579630612713
"ANTHOZT",0.243055555790551,4.62395516075436e-09
"SPONGIT",0.0893784616924597,0.0408849776379706
"NUDIBRT",0.129472307299324,0.0646423275791117
"SDAMPTR",0.0038475390581498,0.00320888018475767
"DETCRATR",3.39342076927627e-29,4.68141105405345e-29
"SUDECRATR",0.212888091135676,0.0335321932278428
"CARCRATR",0.710592164834753,0.0109599219646064
"HOMGAMTR",0.19194812239862,0.0742208808838504
"LEPTRETR",0.222861802271436,0.0273584795164346
"CUMACERS",0.00132756225522684,0.000915650948255399
"DETCRARS",3.61110200569135e-29,5.63382606528138e-29
"LANCONRS",3.30063371038647e-29,7.73606940794728e-29
"SCAGASRS",0.573435068089647,0.0557036533190523
"DETAMPS",4.08429528930751e-29,1.40694538737588e-28
"DPAMPS",0.245283785776569,4.16456751873029e-09
"DETSHRS",0.222892278110124,0.0445142786542183
"CARSHRS",0.239133189936303,0.0185490683889783
"THISCUS",3.46691813015979e-29,8.23451369668048e-29
"PAGURIS",3.50317926746443e-29,8.09816151380008e-29
"DETPOLS",5.17571133684826e-29,1.69023503785024e-28
"CARPOLPS",0.248336689437683,0.0674638859348271
"CARPOLPCS",0.506688346669607,0.053902428071513
"SUDEPOLS",3.44619772194007e-29,6.5844533942381e-29
"SUSWORS",0.128910437213314,0.0499776843716871
"SEPATLS",0.105180710592109,0.0242954720084396
"SUDEBIVS",0.163815521171475,0.000740401287250874
"HSUDEBIVS",3.73630187048898e-29,1.03941238776133e-28
"DEPBIVS",3.64271067608742e-29,5.39764933889947e-29
"BROGASS",3.32511527564544e-29,4.64060535651601e-29
"BORGASS",0.37282067249136,0.0674859729933521
"ECHCORS",3.31366200137777e-29,4.55748318779231e-29
"OPHIURS",0.604143801267112,0.00768639061243087
"ISOPODU",3.84082523821342e-29,1.12819783097137e-28
"DETPOLU",3.47498405649546e-29,4.93217960921782e-29
"CARPOLCU",0.194606760371495,0.086004307271127
"NEPHTYU",0.896744106732087,0.0161082571004695
"ASTRUBU",0.360067995979631,0.0136042804420063
"ZOOPLANKT",7.18613827687212e-29,1.84437448715685e-28
"PHYTOPLANKT",0,0
"SOM",0,0
"SPOM",0,0
"SEDBAC",3.30166638523775e-29,4.51340226576325e-29
"WATBAC",1.66451992932446e-29,2.76295438271757e-29
