"name","mean","std","min","max","Fish"
"Phyto",0,0,0,0,"CALLIO"
"Zoo",0.00418862933664695,0.00382716219220237,3.53435319632583e-07,0.0246494553866373,"CALLIO"
"SPOM",0,0,0,0,"CALLIO"
"SOM",0,0,0,0,"CALLIO"
"Benthos",0.0435429105722792,0.0102954343519958,6.7358337951047e-06,0.284513665275873,"CALLIO"
"Biv",0.00968754292967546,0.00534512212568114,1.82344995236482e-06,0.0572304362990051,"CALLIO"
"Crust",0.0198169165206782,0.00713135886730612,1.6650648219808e-06,0.136143953891928,"CALLIO"
"Poly",0.00990141680398792,0.00448751285862205,3.07794732456746e-06,0.0654666990142096,"CALLIO"
"Other",0.00413703431793763,0.00253605737458875,1.69371696191618e-07,0.0256725760707303,"CALLIO"
"Pisc",0,0,0,0,"CALLIO"
"Phyto",0,0,0,0,"CARANG"
"Zoo",0.000389213285334817,0.000357131240769216,1.27249731063893e-07,0.00279802435244593,"CARANG"
"SPOM",0,0,0,0,"CARANG"
"SOM",0,0,0,0,"CARANG"
"Benthos",0.0023528285365269,0.000869501169706937,4.58468077070143e-07,0.0158293080480688,"CARANG"
"Biv",0.000875303433518413,0.000467464160541566,7.41273069629756e-08,0.00636770969160367,"CARANG"
"Crust",0.00147752510300849,0.000733150422990331,3.84340770107167e-07,0.00946159835646514,"CARANG"
"Poly",0,0,0,0,"CARANG"
"Other",0,0,0,0,"CARANG"
"Pisc",0.00129434464125868,0.000301504385328865,0.000378321605721234,0.00237779489412505,"CARANG"
"Phyto",0,0,0,0,"GADIFO"
"Zoo",0.000290794584266265,0.00027467000466057,1.82565924331315e-08,0.00252428099489076,"GADIFO"
"SPOM",0,0,0,0,"GADIFO"
"SOM",0,0,0,0,"GADIFO"
"Benthos",0.00993015334318633,0.0026549451564161,9.4122892174712e-07,0.0727233428201039,"GADIFO"
"Biv",0,0,0,0,"GADIFO"
"Crust",0.00299853280394629,0.00117981369989249,4.17014781136531e-07,0.023912716504654,"GADIFO"
