"name","mean","std","min","max","Fish"
"Phyto",0,0,0,0,"CALLIO"
"Zoo",0.00161966830882623,0.00148399964397602,3.31918778525599e-08,0.0113184159627075,"CALLIO"
"SPOM",0,0,0,0,"CALLIO"
"SOM",0,0,0,0,"CALLIO"
"Benthos",0.0288702098021077,0.00603434094396146,4.941735436895e-06,0.201078202410575,"CALLIO"
"Biv",0.00618131774769567,0.00277766847971334,1.60425492638879e-06,0.0410093007942616,"CALLIO"
"Crust",0.00548176772686241,0.0025040045960703,1.56291014066491e-06,0.036415645885456,"CALLIO"
"Poly",0.0113016709196165,0.00400046158523506,1.03233281291205e-06,0.0836501811071513,"CALLIO"
"Other",0.0059054534079331,0.00253458014919513,7.42237556929249e-07,0.0400030746237059,"CALLIO"
"Fish",0,0,0,0,"CALLIO"
"Phyto",0,0,0,0,"CARANG"
"Zoo",2.02309017953922e-05,1.81303651874541e-05,1.5026850536462e-09,0.000153813337138044,"CARANG"
"SPOM",0,0,0,0,"CARANG"
"SOM",0,0,0,0,"CARANG"
"Benthos",0.000158170298292368,5.21050095863017e-05,2.79505718809896e-08,0.000850525208538073,"CARANG"
"Biv",7.82695418265413e-05,3.60173543162899e-05,9.29772382160879e-09,0.000489515631299901,"CARANG"
"Crust",7.99007564658269e-05,3.76521209501327e-05,1.86528480593808e-08,0.000361009577238172,"CARANG"
"Poly",0,0,0,0,"CARANG"
"Other",0,0,0,0,"CARANG"
"Fish",6.48699926435652e-05,3.25518014686618e-05,2.04514909056595e-08,0.000297899973992443,"CARANG"
"Phyto",0,0,0,0,"CLUPEI"
"Zoo",0.00119515514512931,0.000303849027135841,0.00034868061265472,0.00203759045723755,"CLUPEI"
"SPOM",0,0,0,0,"CLUPEI"
"SOM",0,0,0,0,"CLUPEI"
"Benthos",0,0,0,0,"CLUPEI"
"Biv",0,0,0,0,"CLUPEI"
"Crust",0,0,0,0,"CLUPEI"
"Poly",0,0,0,0,"CLUPEI"
"Other",0,0,0,0,"CLUPEI"
"Fish",0,0,0,0,"CLUPEI"
"Phyto",0,0,0,0,"GADIFO"
"Zoo",0.0155253656512083,0.0150100103952841,1.53846924387307e-08,0.114866551247497,"GADIFO"
"SPOM",0,0,0,0,"GADIFO"
"SOM",0,0,0,0,"GADIFO"
"Benthos",0.336314434266023,0.0849883978161306,3.44902718209502e-05,2.78639518246312,"GADIFO"
"Biv",0.0143494486743019,0.0135490484804454,2.67084606798233e-06,0.112238447667179,"GADIFO"
"Crust",0.0665523400302857,0.0290506196462778,5.73068510065781e-06,0.517761625752374,"GADIFO"
"Poly",0.105849851571933,0.0413040601112015,1.23956331003646e-05,0.930823644578603,"GADIFO"
"Other",0.149562793989503,0.0670036354620028,1.36931075519455e-05,1.22557146446497,"GADIFO"
"Fish",0.132718717381448,0.0437609935886405,0.000457251974741056,0.33421385226501,"GADIFO"
"Phyto",0,0,0,0,"GOBIFO"
"Zoo",8.77134448403075e-05,8.37678019024162e-05,3.03162472880934e-09,0.000666418802967527,"GOBIFO"
"SPOM",6.65332523133586e-05,6.2633741641109e-05,1.88495972376808e-08,0.000514600483920989,"GOBIFO"
"SOM",4.31823450397136e-05,4.03730223582799e-05,4.29890466254531e-09,0.000294850970935463,"GOBIFO"
"Benthos",0.00246364625217643,0.000548776021386643,2.18921544179818e-07,0.0160898197055355,"GOBIFO"
"Biv",0.000332475134661921,0.000162113578850873,3.66496354809931e-08,0.00256696367533996,"GOBIFO"
"Crust",0.000552612380886822,0.00026874787936155,4.55838469875245e-08,0.00279731270786687,"GOBIFO"
"Poly",0.00114568676432685,0.000395832541621604,1.04199436147106e-07,0.00731431444800604,"GOBIFO"
"Other",0.000432871972300836,0.000214395628530913,3.24886255641951e-08,0.00341122887432267,"GOBIFO"
"Fish",0.000124842918728025,0.000100793442307418,1.06263799614574e-08,0.000585656772385129,"GOBIFO"
"Phyto",0,0,0,0,"COTTOI"
"Zoo",0.000744249442063371,0.000694387446801604,2.22446812060572e-07,0.00573805660073465,"COTTOI"
"SPOM",0,0,0,0,"COTTOI"
"SOM",0,0,0,0,"COTTOI"
"Benthos",0.0239378274777754,0.00550382691334378,3.12050044577895e-06,0.156014071406696,"COTTOI"
"Biv",0.00290561542882982,0.0014090541031441,2.42350126812633e-07,0.0239539783614451,"COTTOI"
"Crust",0.00879542448795027,0.0037037935309129,1.16639767887041e-06,0.0499951512339576,"COTTOI"
"Poly",0.0101203492749156,0.00362484812176818,1.64948387895412e-06,0.0661800195880505,"COTTOI"
"Other",0.00211643828607977,0.00120377190569541,6.22687611417974e-08,0.0158849222232429,"COTTOI"
"Fish",0.000111857094411458,9.71085902694629e-05,7.7203838948995e-09,0.000601174187907882,"COTTOI"
"Phyto",0,0,0,0,"PERCOI"
"Zoo",0.000388702796667579,0.000352973465491528,1.95632999196497e-09,0.00251100790354173,"PERCOI"
"SPOM",0,0,0,0,"PERCOI"
"SOM",0.000202936661547788,0.000177964951382614,5.86897839656149e-08,0.00123588628486088,"PERCOI"
"Benthos",0.00791590586259964,0.00204340823534056,6.29736112825124e-07,0.0492274832036092,"PERCOI"
"Biv",0,0,0,0,"PERCOI"
"Crust",0.00397781037935183,0.00143883818553333,2.40188113825309e-07,0.0237404178443306,"PERCOI"
"Poly",0.0039380954832478,0.00145095206402857,3.89547998999815e-07,0.0254870653592787,"PERCOI"
"Other",0,0,0,0,"PERCOI"
"Fish",0.000107346432262438,9.32267434849664e-05,4.38056445869854e-09,0.000610964951521105,"PERCOI"
"Phyto",0,0,0,0,"SCORPA"
"Zoo",0.000968257176707129,0.000820812612066222,1.47855489509782e-08,0.00566782706250573,"SCORPA"
"SPOM",0,0,0,0,"SCORPA"
"SOM",0,0,0,0,"SCORPA"
"Benthos",0.00695700460384444,0.00272018653512013,1.23878335047521e-06,0.045986895649269,"SCORPA"
"Biv",0,0,0,0,"SCORPA"
"Crust",0.00695700460384444,0.00272018653512013,1.23878335047521e-06,0.045986895649269,"SCORPA"
"Poly",0,0,0,0,"SCORPA"
"Other",0,0,0,0,"SCORPA"
"Fish",0.00606281436195434,0.00245937439165063,4.77529844638015e-07,0.0314526471421201,"SCORPA"
"Phyto",0,0,0,0,"AMMODY"
"Zoo",0.00298857059259758,0.00242254201525891,2.78972364023758e-07,0.0160435986118336,"AMMODY"
"SPOM",0,0,0,0,"AMMODY"
"SOM",0,0,0,0,"AMMODY"
"Benthos",0.00849329451409867,0.00348262111465364,1.64568935140722e-06,0.0382934888477334,"AMMODY"
"Biv",0,0,0,0,"AMMODY"
"Crust",0.00849329451409867,0.00348262111465364,1.64568935140722e-06,0.0382934888477334,"AMMODY"
"Poly",0,0,0,0,"AMMODY"
"Other",0,0,0,0,"AMMODY"
"Fish",0.00158109750091413,0.000766396879761869,5.43088289899925e-08,0.00760569935450017,"AMMODY"
"Phyto",0,0,0,0,"PLEURO"
"Zoo",0.0329590874122401,0.0305281044566993,1.36342909043408e-06,0.203301745414707,"PLEURO"
"SPOM",0,0,0,0,"PLEURO"
"SOM",0,0,0,0,"PLEURO"
"Benthos",0.400426697915146,0.0869260915333877,5.71752047832777e-05,2.91919448665694,"PLEURO"
"Biv",0.143077710898103,0.0617492167618466,9.35539220709469e-06,0.832843776264278,"PLEURO"
"Crust",0.0601953071665595,0.0249548909177151,4.21778537967214e-06,0.49706322383391,"PLEURO"
"Poly",0.084240848599179,0.0317528720190532,1.79382336922994e-05,0.815237319928655,"PLEURO"
"Other",0.112912831251305,0.0459585482407347,2.56637935042115e-05,0.774050166630097,"PLEURO"
"Fish",0.0106731143551462,0.0090976014051832,4.74115801025064e-07,0.0764760116908516,"PLEURO"
