"Fish","name","mean","std","min","max"
"CALLIO","Phyto",0,0,0,0
"CALLIO","Zoo",0.00122384470164254,0.00116904439521154,1.642802e-08,0.01059386
"CALLIO","SPOM",0,0,0,0
"CALLIO","SOM",0,0,0,0
"CALLIO","Benthos",0.0172942415595185,0.00366957962961973,2.159488655e-06,0.1207227577
"CALLIO","TEPL",0.00190854402701482,0.00122409460944661,4.10371561e-07,0.0149860741
"CALLIO","SSed",0.0131228354253798,0.00327618126521622,1.424717177e-06,0.0902468436
"CALLIO","Ubiq",0.00226286210712387,0.00111087504368857,3.24399917e-07,0.01548984
"CALLIO","TeplBiv",0,0,0,0
"CALLIO","TeplCrust",0.000969646368440833,0.000906682156279598,1.972994e-07,0.007721844
"CALLIO","TeplPoly",4.69558706924564e-05,4.42229784093419e-05,1.473461e-09,0.0004632231
"CALLIO","TeplOther",0.000891941787881535,0.000821206069474059,2.115987e-07,0.006801007
"CALLIO","SSedBiv",0.00251886121911901,0.00144999322168622,1.50542228e-07,0.019181177
"CALLIO","SSedCrust",0.00445273327584407,0.00201073999890299,6.6849609e-07,0.02979061
"CALLIO","SSedPoly",0.0042458448146432,0.001786859306724,5.2816535e-07,0.028204186
"CALLIO","SSedOther",0.00190539611577348,0.00118107654891764,7.7513509e-08,0.0130708706
"CALLIO","UbiqBiv",0,0,0,0
"CALLIO","UbiqCrust",0.000649001349780531,0.000592141591292874,2.59557e-08,0.004607391
"CALLIO","UbiqPoly",0.00161386075734334,0.000939899834318123,2.98444217e-07,0.010882449
"CALLIO","UbiqOther",0,0,0,0
"CALLIO","Fish",0,0,0,0
"CARANG","Phyto",0,0,0,0
"CARANG","Zoo",0.00109289890430763,0.000972217012889945,3.371516e-08,0.006636206
"CARANG","SPOM",0,0,0,0
"CARANG","SOM",0,0,0,0
"CARANG","Benthos",0.0102679278121178,0.00305502916750581,1.18970348e-06,0.06799616
"CARANG","TEPL",0.00346543013248116,0.00162646129460029,3.5678118e-07,0.025258997
"CARANG","SSed",0.00505782049318912,0.00226558955641506,5.668338e-07,0.031336992
"CARANG","Ubiq",0.00174467718644751,0.00124696865772217,2.660885e-07,0.011400171
"CARANG","TeplBiv",0,0,0,0
"CARANG","TeplCrust",0.00346543013248116,0.00162646129460029,3.5678118e-07,0.025258997
"CARANG","TeplPoly",0,0,0,0
"CARANG","TeplOther",0,0,0,0
"CARANG","SSedBiv",0,0,0,0
"CARANG","SSedCrust",0.00505782049318912,0.00226558955641506,5.668338e-07,0.031336992
"CARANG","SSedPoly",0,0,0,0
"CARANG","SSedOther",0,0,0,0
"CARANG","UbiqBiv",0,0,0,0
"CARANG","UbiqCrust",0.000444665827541616,0.000416501302876389,1.02475e-08,0.003431359
"CARANG","UbiqPoly",0,0,0,0
"CARANG","UbiqOther",0.00130001135890589,0.00117535420110012,2.55841e-07,0.007968812
"CARANG","Fish",0.00234109591122649,0.00116195889039327,6.017415561e-07,0.0076516023
"CLUPEI","Phyto",0,0,0,0
"CLUPEI","Zoo",0.000898288059493878,6.88925155827681e-05,0.0005886477,0.0010379052
"CLUPEI","SPOM",0,0,0,0
"CLUPEI","SOM",0,0,0,0
"CLUPEI","Benthos",0,0,0,0
"CLUPEI","TEPL",0,0,0,0
"CLUPEI","SSed",0,0,0,0
"CLUPEI","Ubiq",0,0,0,0
"CLUPEI","TeplBiv",0,0,0,0
"CLUPEI","TeplCrust",0,0,0,0
"CLUPEI","TeplPoly",0,0,0,0
"CLUPEI","TeplOther",0,0,0,0
"CLUPEI","SSedBiv",0,0,0,0
"CLUPEI","SSedCrust",0,0,0,0
"CLUPEI","SSedPoly",0,0,0,0
"CLUPEI","SSedOther",0,0,0,0
"CLUPEI","UbiqBiv",0,0,0,0
"CLUPEI","UbiqCrust",0,0,0,0
"CLUPEI","UbiqPoly",0,0,0,0
"CLUPEI","UbiqOther",0,0,0,0
"CLUPEI","Fish",7.26865777349481e-05,6.12206020143306e-05,5.570964e-09,0.0003933624
"GADIFO","Phyto",0,0,0,0
"GADIFO","Zoo",0.000159120194234787,0.000155747862675477,1.740022e-09,0.00137925
"GADIFO","SPOM",0,0,0,0
"GADIFO","SOM",0,0,0,0
"GADIFO","Benthos",0.00730508523319394,0.00132770566613581,7.050613431e-07,0.0673022781
"GADIFO","TEPL",0.0033762103782928,0.000884415190882779,2.598975978e-07,0.0310299619
"GADIFO","SSed",0.00286858229566629,0.000838822475270763,3.779477531e-07,0.0262103134
"GADIFO","Ubiq",0.00106029255923485,0.00052629740737109,6.72159922e-08,0.0100620028
"GADIFO","TeplBiv",0.000141189987415677,0.00013882543847735,3.906148e-09,0.001287648
"GADIFO","TeplCrust",0.00158038285284474,0.000653621209781224,1.19288949e-07,0.0135723682
"GADIFO","TeplPoly",0.000706334974543579,0.00038728911697563,2.51548378e-08,0.0060102477
"GADIFO","TeplOther",0.00094830256348881,0.000430934080216638,1.11547663e-07,0.010159698
"GADIFO","SSedBiv",0,0,0,0
"GADIFO","SSedCrust",0.000994005221656801,0.000404619239263675,3.28646382e-08,0.009164154
"GADIFO","SSedPoly",0.000989090409356841,0.000463962901745764,6.37856604e-08,0.0098381144
"GADIFO","SSedOther",0.000885486664652646,0.00056977613326701,2.812974545e-07,0.007208045
"GADIFO","UbiqBiv",0,0,0,0
"GADIFO","UbiqCrust",0.000108153253496366,0.000105760561270992,6.592167e-09,0.0009297918
"GADIFO","UbiqPoly",0.000763291087240583,0.000481024844252031,5.68862692e-08,0.007564452
"GADIFO","UbiqOther",0.000188848218497897,0.000185522947091418,3.737556e-09,0.001567759
"GADIFO","Fish",0.00396948036783859,0.00125764477611167,1.294560089e-06,0.0203783481
"GOBIFO","Phyto",0,0,0,0
"GOBIFO","Zoo",4.32767270009392e-05,4.03119752226036e-05,4.33862e-09,0.0003287137
"GOBIFO","SPOM",3.86102645484216e-05,3.5229167207152e-05,1.511445e-09,0.0002673965
"GOBIFO","SOM",3.09617512432178e-05,2.68108971727868e-05,3.209304e-09,0.0001865523
"GOBIFO","Benthos",0.000788004278158864,0.000167925135163974,9.38380109e-08,0.0057561474
"GOBIFO","TEPL",6.05881518361433e-05,4.04567035723783e-05,2.2159984e-09,0.000492124
"GOBIFO","SSed",0.000591819234645533,0.000147000467749545,7.41065075e-08,0.0043455987
"GOBIFO","Ubiq",0.000135596891677188,7.03773304218806e-05,1.7515505e-08,0.0009184247
"GOBIFO","TeplBiv",0,0,0,0
"GOBIFO","TeplCrust",3.67144378190441e-05,3.33114049894178e-05,1.580171e-09,0.0002387588
"GOBIFO","TeplPoly",2.38737140170992e-05,2.29585531245826e-05,6.358274e-10,0.0002533652
"GOBIFO","TeplOther",0,0,0,0
"GOBIFO","SSedBiv",0.000115572339021784,6.25240250585587e-05,2.2054335e-09,0.000831153
"GOBIFO","SSedCrust",0.000178606736552165,8.41290754588194e-05,2.6382841e-08,0.0013391296
"GOBIFO","SSedPoly",0.000219806711810174,9.08616402941952e-05,2.5959003e-08,0.001660593
"GOBIFO","SSedOther",7.78334472614094e-05,4.86450901382064e-05,1.955923e-08,0.0005147231
"GOBIFO","UbiqBiv",0,0,0,0
"GOBIFO","UbiqCrust",0,0,0,0
"GOBIFO","UbiqPoly",0.000135596891677188,7.03773304218806e-05,1.7515505e-08,0.0009184247
"GOBIFO","UbiqOther",0,0,0,0
"GOBIFO","Fish",2.23028855633683e-05,2.08030765111616e-05,1.833363e-09,0.0001496259
"MULLIF","Phyto",0,0,0,0
"MULLIF","Zoo",0.000235361841418752,0.000221659251129278,1.270414e-08,0.002514899
"MULLIF","SPOM",0,0,0,0
"MULLIF","SOM",0,0,0,0
"MULLIF","Benthos",0.00699051683522122,0.00132920627951205,4.5042152429e-07,0.0526131187
"MULLIF","TEPL",0.00180246670985564,0.000689455988783295,1.97453834e-07,0.0142294173
"MULLIF","SSed",0.00420556753275296,0.00100355770710817,1.7746945029e-07,0.0324268225
"MULLIF","Ubiq",0.000982482592612617,0.000533208872327638,7.549824e-08,0.0059568789
"MULLIF","TeplBiv",0,0,0,0
"MULLIF","TeplCrust",0.00141170897181204,0.000603052298703259,1.5629131e-07,0.010902729
"MULLIF","TeplPoly",4.20652663147999e-05,3.99392481408701e-05,2.291324e-09,0.0003363003
"MULLIF","TeplOther",0.000348692471728808,0.00033178659098253,3.88712e-08,0.002990388
"MULLIF","SSedBiv",0.000520150220482651,0.00028465512340684,1.3906924e-08,0.0041882389
"MULLIF","SSedCrust",0.00151665416280792,0.000595473546339168,4.679534117e-08,0.011804875
"MULLIF","SSedPoly",0.00143956712460845,0.000606218417115129,8.6543506e-08,0.010402153
"MULLIF","SSedOther",0.000729196024853932,0.00045167468223836,3.022367912e-08,0.0060315556
"MULLIF","UbiqBiv",0,0,0,0
"MULLIF","UbiqCrust",0,0,0,0
"MULLIF","UbiqPoly",0.000982482592612617,0.000533208872327638,7.549824e-08,0.0059568789
"MULLIF","UbiqOther",0,0,0,0
"MULLIF","Fish",0.000143702751182276,0.000127923515723554,1.204558e-08,0.0009283614
"COTTOI","Phyto",0,0,0,0
"COTTOI","Zoo",6.41598647054764e-05,6.28664160567573e-05,6.008696e-09,0.0005286114
"COTTOI","SPOM",0,0,0,0
"COTTOI","SOM",0,0,0,0
"COTTOI","Benthos",0.00737768843586706,0.000725798225114891,0.002386012321121,0.0334968809
"COTTOI","TEPL",0.00547369734763674,0.000526252731816223,0.0023858860506015,0.0165302129
"COTTOI","SSed",0.00130011258252416,0.000375640624474183,9.64156885e-08,0.0117234684
"COTTOI","Ubiq",0.00060387850570616,0.000329750279879387,2.9854831e-08,0.0052431996
"COTTOI","TeplBiv",5.57773864095932e-05,5.38093404292888e-05,2.780442e-09,0.000481594
"COTTOI","TeplCrust",0.00475053200712045,0.000452996092622349,0.0023857765715761,0.009878928
"COTTOI","TeplPoly",0.000403369420637985,0.000214289245605284,4.10846154e-08,0.0037669438
"COTTOI","TeplOther",0.000264018533468715,0.000151397331262493,6.5613968e-08,0.0024027471
"COTTOI","SSedBiv",0.000154035157113451,8.6498622321907e-05,1.01978443e-08,0.0014678362
"COTTOI","SSedCrust",0.000450403294034969,0.000186835226220368,2.63381863e-08,0.0039887332
"COTTOI","SSedPoly",0.000571195938109918,0.000299765407161653,5.2849934e-08,0.0050927277
"COTTOI","SSedOther",0.000124478193265825,9.41125177867367e-05,7.0297239e-09,0.0011741713
"COTTOI","UbiqBiv",0,0,0,0
"COTTOI","UbiqCrust",4.32069940573233e-05,4.24644865434779e-05,5.337582e-09,0.0004758552
"COTTOI","UbiqPoly",0.000560671511648837,0.00032700460923836,2.4517249e-08,0.0047673444
"COTTOI","UbiqOther",0,0,0,0
"COTTOI","Fish",0.000185792098784086,0.000138068567057346,1.1323145e-08,0.0012500566
"PERCOI","Phyto",0,0,0,0
"PERCOI","Zoo",0.00180688395603857,0.00171515569439377,5.117272e-08,0.01626293
"PERCOI","SPOM",0,0,0,0
"PERCOI","SOM",0.00110131907784526,0.000961496863406848,7.834912e-08,0.006678965
"PERCOI","Benthos",0.0395247335271149,0.00844547406855717,2.889882407e-06,0.2861272957
"PERCOI","TEPL",0.0109717704642885,0.00404207873551756,1.445763973e-06,0.0836809701
"PERCOI","SSed",0.0217475520020583,0.00616627281869929,1.39480486e-06,0.149401034
