"","TL_mean","std"
"CALLIO",3.1965800326972,0.039999753202144
"CARANG",3.44890145652264,0.0608377608191595
"GADIFO",3.15865706130703,0.16891566559595
"GOBIFO",3.19773780280651,0.12203008681601
"MULLIF",3.30515229545106,0.0567470701162566
"COTTOI",3.45115114863497,0.0813441970093564
"PERCOI",3.4238828503559,0.0848114476037846
"SCORPA",3.7289407035548,0.0701426607119992
"AMMODY",2.26001940626827,0.0595408836553795
"PLEURO",3.10477032740846,0.107508456203591
"JELLY",2.6000000000002,2.81601550254118e-14
"CUMACE",2.01815171803439,0.0126666909556842
"CALLIA",2,4.16133879529492e-15
"ISOPOD",2,4.87306539445116e-15
"DETAMP",2,5.79793633549856e-15
"DPAMP",2.04337349351311,6.29711674041942e-11
"DETSHR",2.20863587188088,0.0914419155117981
"SUDECR",2.16093412282044,0.0110439668270517
"PAGURI",2.46699773911238,0.0994399567304093
"CARNCR",2.97325121419088,0.0881834399220174
"ASTRUB",1.70499201795144,0.0594183313345077
"OPHIUR",2.64097671507068,0.117183473309197
"ECHCOR",2,5.32846851141965e-15
"DETPOL",2,5.12373623679004e-15
"NEPHTY",2.41854162016232,0.160672123044035
"CARPOLP",2.81355372881458,0.125260481369654
"CARPOLC",3.11410727176749,0.0657473169558802
"CARPOLPC",2.603943339302,0.0986944286889176
"SUSWOR",2.14749034333956,0.0738802241964155
"SUSBIV",2.21185203758222,0.118779258343802
"HSUDEBI",2,5.4825310862742e-15
"SUDEBI",2.07573767708751,0.0302395355464667
"BROGAS",2,4.99365814475459e-15
"SUSGAS",2,3.35174736481692e-15
"SEPATL",3.42094335753335,0.0663145332149203
"ZOOPLANKT",2,5.78334936561142e-15
"PHYTOPLANKT",0.999999999999999,5.55752049283178e-15
"SOM",1,5.29173083904476e-15
"SPOM",1,3.90750044959699e-15
"SEDBAC",2,4.39078271463894e-15
"WATBAC",2,3.43880248704045e-15
