"","mean","sd","min","max"
"RespCALLIO",0.00405365916557075,0.000184445924889283,0.00269797313136161,0.00424998060261419
"UptaCALLIO",0.0304898781109339,0.00260145235689847,0.017039445795569,0.0352832459170513
"AssiCALLIO",0.0128853703326122,0.000840916929476911,0.00787139179195776,0.0141607313525854
"ProdCALLIO",0.00883171116704144,0.000723379722529372,0.00382157140887817,0.00991132296487019
"RespCARANG",3.4940278060431e-05,2.3911831398666e-06,2.25715214700684e-05,3.74993691414095e-05
"UptaCARANG",0.000243271192731326,3.4143919094999e-05,9.56889998034684e-05,0.000310235099406945
"AssiCARANG",0.000108776912855563,1.02572239329802e-05,5.76272685465655e-05,0.0001248200418264
"ProdCARANG",7.38366347951322e-05,8.70005161608879e-06,3.11199188860556e-05,8.73656170063542e-05
"RespCLUPEI",0.000218964412999646,2.45882081254826e-05,0.000150003193920672,0.000249996570256669
"UptaCLUPEI",0.00119515514512931,0.000303849027135841,0.00034868061265472,0.00203759045723755
"AssiCLUPEI",0.000640083170427716,0.000104095548148628,0.000227559336891763,0.000832877070856295
"ProdCLUPEI",0.00042111875742807,8.88982613450283e-05,6.04214846341863e-05,0.000582957437375634
"RespGADIFO",0.0751651434811006,0.00359395669101091,0.0513373048371549,0.0788749829932349
"UptaGADIFO",0.563206438971867,0.0515815807589527,0.327859072299735,0.655775617389363
"AssiGADIFO",0.238139290224693,0.0168858111663429,0.138346455283133,0.262797942848609
"ProdGADIFO",0.162974146743592,0.0145921828954213,0.067756355860615,0.183937242167229
"RespGOBIFO",0.000362314894441577,1.22225093838969e-05,0.000270581958728317,0.000374998149063792
"UptaGOBIFO",0.00278591821309784,0.000184019895080501,0.00172592256849489,0.00311535476144276
"AssiGOBIFO",0.00116984510396796,5.37514031507965e-05,0.000843946744207108,0.00124960101224814
"ProdGOBIFO",0.000807530209526382,4.55078547497356e-05,0.000524779141115572,0.000874660825932266
"RespCOTTOI",0.00332435817538099,0.000167734689017962,0.00216612048084796,0.00349996278381431
"UptaCOTTOI",0.0247939340142502,0.00223324949284717,0.0144814741454623,0.0289545893045002
"AssiCOTTOI",0.0104999336387919,0.000758728076082402,0.0064152391657573,0.0116603689750372
"ProdCOTTOI",0.00717557546341089,0.000654918505969187,0.00311723467413947,0.00816062209944635
"RespPERCOI",0.00117892359684248,6.65387820867056e-05,0.000774473955489843,0.00124999802112718
"UptaPERCOI",0.00861489175307745,0.000923942917939112,0.0045420940994619,0.0103380626005314
"AssiPERCOI",0.00369979797369397,0.000303350106454457,0.00207919986453496,0.00416589778815571
"ProdPERCOI",0.00252087437685149,0.000261450450592055,0.000906525147538658,0.00291593504013735
"RespSCORPA",0.00206121768523308,0.000167247392328124,0.00135147139009388,0.00224998763923588
"UptaSCORPA",0.0139880761425059,0.00224147503223228,0.00531375550463515,0.01861652013203
"AssiSCORPA",0.00623111565818287,0.000773347437160501,0.00260559658106175,0.00749290065582423
"ProdSCORPA",0.0041698979729498,0.000675068799057072,0.000813304911554018,0.0052448557455911
"RespAMMODY",0.00204275398406536,0.000179823087887619,0.00135004866639105,0.00224997456905182
"UptaAMMODY",0.0130629626076104,0.00246775362897689,0.00535635060222309,0.0185657886270708
"AssiAMMODY",0.00621922979731933,0.000754244574769528,0.00282775732983407,0.00748317799612488
"ProdAMMODY",0.00417647581325397,0.000636790810845527,0.000678340938746535,0.00523601957293234
"RespPLEURO",0.0592842132328891,0.0027950814639291,0.0400976712292174,0.0622498200012479
"UptaPLEURO",0.444058899682532,0.0395779126003603,0.24027375509461,0.517402736779655
"AssiPLEURO",0.187973457435232,0.0128108797871721,0.0987024478383017,0.207241489571088
"ProdPLEURO",0.128689244202343,0.011077347096216,0.0501261447918922,0.145034312725063
