"","mean","sd","min","max"
"RespCALLIO",0.00665750211817495,0.000431130159511255,0.00428707665736299,0.00712498103147621
"UptaCALLIO",0.0477315399089262,0.0056782479864199,0.022159467823342,0.0591341950258164
"AssiCALLIO",0.0206422202449853,0.00194505793453392,0.0106819795001213,0.023733330744702
"ProdCALLIO",0.0139847181268103,0.00167960793100833,0.00480207050528369,0.0166083690038797
"RespCARANG",0.000666123912562046,6.69529714602082e-05,0.00045012858343054,0.000749997162749844
"UptaCARANG",0.00403638646312039,0.000800203399268658,0.00134458078452502,0.00613535954075687
"AssiCARANG",0.00195340562264585,0.000287353577278423,0.000862117869188685,0.00249447830936582
"ProdCARANG",0.0012872817100838,0.000250749502918746,0.00031813147038909,0.00174523612188053
"RespGADIFO",0.00263782397010498,0.000108421407296614,0.00187563261494978,0.00274998333065258
"UptaGADIFO",0.0197719393850473,0.00165735002650989,0.0119588934421616,0.0227568719889442
"AssiGADIFO",0.0084795696117182,0.000457398568194989,0.00598957712783373,0.00916331839814327
"ProdGADIFO",0.00584174564161322,0.000381586837833485,0.00358900255720677,0.00641352374704821
"RespGOBIFO",0.00169162188907221,5.62087813709303e-05,0.00132442579787263,0.00174999889156627
"UptaGOBIFO",0.0128838741515123,0.000953726609157716,0.00730291143196576,0.0145399920612737
"AssiGOBIFO",0.00547748245185633,0.000237896908233786,0.00410543756072115,0.00582987290166952
"ProdGOBIFO",0.00378586056278411,0.000198446040341408,0.00269182773390055,0.0040807946992434
"RespMULLIF",0.00047527298454718,2.33301308618286e-05,0.000338350770198471,0.000499996617003935
"UptaMULLIF",0.00354201591307305,0.000319540968403467,0.00208000162965291,0.00415869237042257
"AssiMULLIF",0.00150130416035253,0.000107705157087547,0.00095538721106188,0.00166546253558504
"ProdMULLIF",0.00102603117580535,9.34688265181843e-05,0.000503848113729588,0.00116550775171354
"RespCOTTOI",0.000118862477752775,5.83195021879688e-06,7.62193809844673e-05,0.000124999414306102
"UptaCOTTOI",0.000886305317686789,8.02650268997899e-05,0.000461264318022089,0.00103413210667624
"AssiCOTTOI",0.000375339776564927,2.68878648998538e-05,0.000230576234839026,0.00041621656624567
"ProdCOTTOI",0.000256477298812151,2.3326796326809e-05,0.000111470590485233,0.00029127178416266
"RespPERCOI",0.000118425091264346,6.17531664733569e-06,7.87930323548105e-05,0.00012499905506677
"UptaPERCOI",0.000873935543604674,8.59788377058041e-05,0.00042643327279417,0.00103419073278694
"AssiPERCOI",0.000373030916883027,2.83402470481147e-05,0.000219575905450698,0.000416307567391505
"ProdPERCOI",0.000254605825618681,2.4520377245697e-05,9.87768506251893e-05,0.000291384110701576
"RespSCORPA",0.000925039869265066,6.83141263648324e-05,0.000600851397999438,0.000999991709021002
"UptaSCORPA",0.0064313295525786,0.000909938605078789,0.00216876695297161,0.0082413156516251
"AssiSCORPA",0.00282679035171361,0.000312631555119624,0.00129841815597451,0.00332901887674808
"ProdSCORPA",0.00190175048244854,0.000272508478436126,0.000506214331869745,0.00232948351820611
"RespAMMODY",0.000806026356192867,6.14211199752817e-05,0.000526064155761134,0.000874982342641667
"UptaAMMODY",0.00543768888911069,0.000855685576946683,0.00247331007882878,0.00721081697794084
"AssiAMMODY",0.00248378856131549,0.00026050571747207,0.0013169399487585,0.00291261686249209
"ProdAMMODY",0.00167776220512262,0.00022112415387164,0.000547391961245964,0.0020386767323869
"RespPLEURO",0.0362074557725087,0.00234914252829756,0.0236220067215901,0.0387498570093125
"UptaPLEURO",0.259582973312164,0.0307978112497304,0.129799298733447,0.319321798215249
"AssiPLEURO",0.112278546413114,0.0105369263584314,0.0590172251182531,0.129103761051179
"ProdPLEURO",0.076071090640605,0.00910147739403715,0.0271107296319568,0.0903547789663663
"RespJELLY",1.14615115082084,0.134201127332256,0.797566046031047,1.32899197779107
"UptaJELLY",4.488474294754,0.600314527954452,3.00537918907222,5.81293255090024
"AssiJELLY",2.9068641563351,0.794749623120393,1.23148339945821,4.38588493932487
"ProdJELLY",1.76071300551426,0.740043975175347,0.25735724789909,3.05796345917996
"RespCUMACE",0.00633008782726051,0.000492941119052662,0.00414344004267956,0.00687488410177652
"UptaCUMACE",0.0396554626113776,0.00779785026774339,0.0160977097898108,0.0567655872510563
"AssiCUMACE",0.0197043018001616,0.00198736928021909,0.0107666892799691,0.0228901972601124
"ProdCUMACE",0.0133742139729011,0.00164380016174402,0.00522164977704393,0.0160175303279427
"RespCALLIA",0.00074299539351251,9.37630447113668e-05,0.000525060746865901,0.000874961981306595
"UptaCALLIA",0.00373552901532851,0.00110162246927319,0.00106413958766639,0.0072036526373986
"AssiCALLIA",0.0019970255996633,0.000439581393633983,0.000723076961965345,0.00290607910631598
"ProdCALLIA",0.00125403020615079,0.000393810514784952,0.000159205808955057,0.00203287607953464
"RespISOPOD",0.00658050983144981,0.000579634299614359,0.00436846436380437,0.0072499931230363
"UptaISOPOD",0.0308907809690231,0.00376237454566787,0.0186516078112656,0.0579692604748675
"AssiISOPOD",0.0203344314331495,0.0022607850966983,0.0105526871995332,0.024123619077113
"ProdISOPOD",0.0137539216016997,0.00184584451451272,0.00544978776761,0.0168754279349367
"RespDETAMP",0.056992437279957,0.00636568666730977,0.0391596809436004,0.0652491307406581
"UptaDETAMP",0.266515944565874,0.0324954689867469,0.126046330695687,0.528350600228
"AssiDETAMP",0.167660074195806,0.0253275870717722,0.0858316618825144,0.216748627588472
"ProdDETAMP",0.110667636915849,0.0213444313708987,0.0236450628660495,0.151666323354404
"RespDPAMP",0.0124139494249893,0.00114055410236676,0.00827042622474693,0.0137498819100582
"UptaDPAMP",0.0624972639408758,0.0103650925688198,0.0331324917082453,0.112809759876989
"AssiDPAMP",0.0381153747044089,0.00451381602858891,0.019435086483103,0.0457251665075792
"ProdDPAMP",0.0257014252794196,0.00371145764122118,0.00983149958446993,0.0319906624844565
"RespDETSHR",0.0673414566596652,0.00856952470246663,0.0478507948688944,0.0797486976369816
"UptaDETSHR",0.316079566793268,0.0590514562982391,0.123158009236873,0.648894460003286
"AssiDETSHR",0.186162901698358,0.0340766596810316,0.0825581183460478,0.265778871157161
"ProdDETSHR",0.118821445038693,0.02963911600376,0.0315134826020246,0.186039675859886
"RespSUDECR",0.865939173609354,0.056861343257183,0.602786971652273,0.955596062361322
"UptaSUDECR",6.16163488712927,0.543342080947115,4.31913893484007,7.8360137173152
"AssiSUDECR",2.64992509913426,0.206458159831045,1.7538574324813,3.16868032867579
"ProdSUDECR",1.78398592552491,0.171640052799177,1.02973555701549,2.21646291926528
"RespPAGURI",0.0774878432136483,0.00978145698795439,0.055106377627626,0.0917488657323598
"UptaPAGURI",0.36449912603705,0.0681902524230806,0.139848118557989,0.736795894803577
"AssiPAGURI",0.214504928381748,0.0393692265909349,0.0876079464370703,0.304585278450132
"ProdPAGURI",0.1370170851681,0.0344249188331431,0.0244910259841696,0.212876043569776
"RespCARNCR",0.119947201633364,0.0154598125449778,0.0877664226910136,0.146244629601505
"UptaCARNCR",0.547517807024834,0.10595419398181,0.241580909263519,1.12582295020563
"AssiCARNCR",0.306682231276234,0.0577678223708917,0.139162340057498,0.486109466238727
"ProdCARNCR",0.18673502964287,0.0517567692966781,0.0351246177078271,0.340067007416726
"RespASTRUB",1.90903404602007,0.165836497101299,1.36838428800536,2.27499769726153
"UptaASTRUB",7.88389552178276,0.475950827826865,6.61913353836293,9.4027348832346
"AssiASTRUB",5.83375945526894,0.562542859394577,4.30465209912353,7.50627411419995
"ProdASTRUB",3.92472540924887,0.443800368561595,2.74266083723298,5.23917386487351
"RespOPHIUR",0.0125784815443142,0.000843739568260909,0.00846692594616456,0.0134999742845491
"UptaOPHIUR",0.0891348349945447,0.0113106523970053,0.041802646920481,0.11188168811982
"AssiOPHIUR",0.038937616082909,0.00372861684691757,0.0213776456525808,0.0449828567470386
"ProdOPHIUR",0.0263591345385948,0.00321450780554292,0.00964381733426328,0.0314836770168969
"RespECHCOR",6.17886190114721,0.281222391361403,5.78294642353555,7.42923341591659
"UptaECHCOR",16.3308647880362,1.23296597095294,13.6194375005996,21.0074339560334
"AssiECHCOR",12.0902191059554,1.48485848837366,7.79442043242899,16.805424993613
"ProdECHCOR",5.91135720480815,1.57136327649463,1.60622493004762,10.8923567017574
"RespDETPOL",0.259995481385428,0.0297589241464137,0.187763983365166,0.312869604406085
"UptaDETPOL",1.24265684862697,0.0861783494485518,0.987073291050974,1.52727314086018
"AssiDETPOL",0.733528787739198,0.0976094638595874,0.435636433277008,1.04107124586177
"ProdDETPOL",0.473533306353771,0.0822092743752083,0.201588140418105,0.728479593596534
"RespNEPHTY",0.286555060446075,0.0366758233556857,0.223464017509444,0.372318389865462
"UptaNEPHTY",1.05397751608847,0.1349421867597,0.605110254419334,1.75261977958513
"AssiNEPHTY",0.741910642683013,0.107117585215504,0.382243371920176,1.17559961297921
"ProdNEPHTY",0.455355582236938,0.0957651737369901,0.124530755987541,0.805853040721994
"RespCARPOLP",0.00153117007854509,8.7993210585448e-05,0.00100076730604023,0.00162499220810905
"UptaCARPOLP",0.0100319835619877,0.00173162435993736,0.00477873166197991,0.0135157304906881
"AssiCARPOLP",0.00485811490485467,0.000358111186781449,0.00298749063678916,0.00541504044952136
"ProdCARPOLP",0.00332694482630957,0.000295746893235712,0.00178331638562052,0.00379011811524602
"RespCARPOLC",0.000710661247269188,3.72146742698155e-05,0.000468975084793004,0.000749996566740646
"UptaCARPOLC",0.00476595483623013,0.000772354974534781,0.00184589584723112,0.00621375892065804
"AssiCARPOLC",0.0022666538824557,0.000151938162704353,0.00138049769817815,0.00249903228693494
"ProdCARPOLC",0.00155599263518652,0.000125188915456711,0.00078921340299477,0.00174910676008594
"RespCARPOLPC",0.0203918624620575,0.00154991071619533,0.013287529512328,0.0221247235518284
"UptaCARPOLPC",0.130902223292529,0.023690825308495,0.053294535966827,0.182067478407624
"AssiCARPOLPC",0.0632974478949284,0.00630363117704974,0.0308031953287249,0.0737430785492601
"ProdCARPOLPC",0.042905585432871,0.0052467586427163,0.0174516436798182,0.0516199486379048
"RespSUSWOR",0.0551891712877489,0.00585621065192944,0.0375030747539183,0.0624984284106079
"UptaSUSWOR",0.285170298166199,0.0478123630528253,0.140073546309764,0.495273367812689
"AssiSUSWOR",0.165368566078222,0.0228773209668391,0.077704240592049,0.208236407326599
"ProdSUSWOR",0.110179394790473,0.0190188758258857,0.0365823537547723,0.145750618460413
"RespSUSBIV",0.00320354204460755,0.000262030684827339,0.00210874612531888,0.00349986471797705
"UptaSUSBIV",0.0193590945759177,0.00409551449161279,0.00808821972206678,0.0289712350645315
"AssiSUSBIV",0.00994610202561825,0.00104522712828298,0.00511428294964645,0.0116461835674754
"ProdSUSBIV",0.00674255998101071,0.000858922577375992,0.00262630122554448,0.00814713258754653
"RespHSUDEBI",0.0410190674741138,0.00433669258154972,0.0279037817400645,0.0464997533332649
"UptaHSUDEBI",0.210176624275944,0.0385594518452468,0.0845487724868222,0.381667994748731
"AssiHSUDEBI",0.122362226062151,0.0173192037605491,0.0571294286471814,0.154716785117747
"ProdHSUDEBI",0.0813431585880373,0.014505221008124,0.0254198476670626,0.108276040964154
"RespSUDEBI",0.444079803029766,0.0570471042160804,0.322656202924336,0.537624461510231
"UptaSUDEBI",2.55174467904399,0.41660702807361,1.57543384375394,4.31005613575866
"AssiSUDEBI",1.19285239464113,0.160899213541344,0.698429175563987,1.78249061504743
"ProdSUDEBI",0.748772591611361,0.143170878765407,0.292427643018678,1.24691981705343
"RespBROGAS",0.00655105547120896,0.000673785216779907,0.00443245148204523,0.00737499947677954
"UptaBROGAS",0.034351621132387,0.00778806982014394,0.0135504683024979,0.0606306224806779
"AssiBROGAS",0.0196857678214358,0.00273787164973049,0.00886523093253022,0.0245784323622657
"ProdBROGAS",0.0131347123502268,0.0022937335435541,0.0038410825945529,0.0172045730883249
"RespSUSGAS",0.000680149066228144,6.09698949934422e-05,0.000450111606147016,0.000749973047970916
"UptaSUSGAS",0.00391690536424662,0.000882637288568567,0.00164397494836766,0.00619855358091348
"AssiSUSGAS",0.00209127884105435,0.00024504776177001,0.00110426453982305,0.00249604506281054
"ProdSUSGAS",0.00141112977482621,0.000202402213934055,0.000536032807068303,0.00174696795598142
