"","mean","sd","min","max"
"RespCALLIO",0.00249266757469388,0.000125216930412743,0.001707462,0.002624995
"UptaCALLIO",0.018518086261161,0.00171384621614068,0.00875123646,0.021815485027
"AssiCALLIO",0.00789235761658956,0.000556695971146559,0.00387307846,0.00874743557
"ProdCALLIO",0.00539969004189568,0.000476353291873287,0.00127099546,0.00612256257
"RespCARANG",0.00197112054285714,0.000140172826817137,0.001281883,0.002124987
"UptaCARANG",0.0137019226276519,0.00190863951040317,0.00599564733,0.0174871465016
"AssiCARANG",0.00610459874234578,0.000605101326271658,0.00320539833,0.00707603206
"ProdCARANG",0.00413347819948864,0.000515265592592177,0.00135304633,0.00495302307
"RespCLUPEI",0.000122220152025306,2.74737885577709e-06,9.937681e-05,0.0001249997
"UptaCLUPEI",0.000970974637228826,3.85094425049415e-05,0.00073693798,0.001040422204
"AssiCLUPEI",0.000398649294396173,1.23537765902362e-05,0.00032417459,0.0004165528
"ProdCLUPEI",0.000276429142370866,1.05603878400938e-05,0.00020828225,0.0002915704
"RespGADIFO",0.00146832266702041,3.12217693768657e-05,0.001203714,0.001499997
"UptaGADIFO",0.0116954885441614,0.00045394954026957,0.008821620494,0.012487435481
"AssiGADIFO",0.00479169859183487,0.000142837157225833,0.00386635219599999,0.0049989900296
"ProdGADIFO",0.00332337592481446,0.000122288630123433,0.002472987494,0.0034991490296
"RespGOBIFO",0.000335867459755102,3.25220408371226e-05,0.0003000044,0.0004982601
"UptaGOBIFO",0.000923155906514811,4.33180988399056e-05,0.000685832693,0.00108538558282
"AssiGOBIFO",0.000701603327380118,4.89623764297964e-05,0.000466420556,0.000852903246
"ProdGOBIFO",0.000365735867625016,5.68710935468698e-05,0.0001354686365,0.00054872708282
"RespMULLIF",0.0009615884184,3.7041689779938e-05,0.0006961892,0.0009999944
"UptaMULLIF",0.00736958142782225,0.000514295728027238,0.004408772863,0.00830361042
"AssiMULLIF",0.0030773051999447,0.000170658516251127,0.001959640994,0.003331350328
"ProdMULLIF",0.0021157167815447,0.000147372434493576,0.001203783294,0.002331420128
"RespCOTTOI",0.000971885839453061,2.74135541889723e-05,0.0007422169,0.0009999981
"UptaCOTTOI",0.00762764039935663,0.000383839635119292,0.005487408558,0.008322236066
"AssiCOTTOI",0.00314752779894847,0.000126319442889707,0.002291186558,0.0033320683207
"ProdCOTTOI",0.0021756419594954,0.000108801915119908,0.0015161659586,0.0023323414207
"RespPERCOI",0.0071982074555102,0.000498080501604027,0.00466298,0.007749991
"UptaPERCOI",0.050598071835256,0.00671860950447372,0.0245854481,0.064292846703
"AssiPERCOI",0.0221574925442356,0.0022598117317313,0.0106804915917,0.025790011703
"ProdPERCOI",0.0149592850887254,0.00196184346984692,0.004343023067,0.018049699703
"RespSCORPA",0.000243467729469388,6.43541065405672e-06,0.0001842838,0.0002499996
"UptaSCORPA",0.00192060714055661,8.89464451044162e-05,0.0013168760637,0.002079774209
"AssiSCORPA",0.000790021231332118,2.95950734252502e-05,0.00059690696358,0.00083312813
"ProdSCORPA",0.00054655350186273,2.54345568706916e-05,0.000373900237999999,0.0005831429712
"RespAMMODY",0.000592222089453061,3.0718901915795e-05,0.0003788266,0.0006249981
"UptaAMMODY",0.00425626558379788,0.000487349415591289,0.00210526157,0.00518572494
"AssiAMMODY",0.00187902306329176,0.000130670656417878,0.001198556897,0.002081632272
"ProdAMMODY",0.0012868009738387,0.000110126669452806,0.000632431117,0.001456983691
"RespPLEURO",0.0396579746865306,0.00222043893222772,0.0259886,0.04237394
"UptaPLEURO",0.242051518007339,0.0175139904595021,0.18191932751,0.30693960711
"AssiPLEURO",0.120928367532237,0.00982032500992393,0.080835758478,0.141069460984
"ProdPLEURO",0.0812703928457065,0.00867788764353223,0.045783525371,0.0987396709839999
"RespSCOMBR",0.00100011665244898,0.000102286062287659,0.0006750356,0.0011249935
"UptaSCOMBR",0.00615727062077024,0.00132033479961642,0.00177851991,0.0092684665
"AssiSCOMBR",0.00290191123721922,0.000472260628561764,0.0011263950368,0.003745782704
"ProdSCOMBR",0.00190179458477024,0.000416693074787547,0.00027031822,0.002621990604
"RespZEIFOR",1.19438562421224e-05,5.12491270038337e-07,8.665118e-06,1.249994e-05
"UptaZEIFOR",8.87383387551039e-05,6.65576491972605e-06,5.7910577483e-05,0.00010237943862
"AssiZEIFOR",3.73841045142876e-05,2.30895246653503e-06,2.5583637483e-05,4.107967206e-05
"ProdZEIFOR",2.54402482721651e-05,1.99874823518347e-06,1.4380257483e-05,2.858434206e-05
"RespJELLY",1.32631881004082,0.00227410649669537,1.309428,1.328999
"UptaJELLY",5.52909865077551,0.0096502021770259,5.490227,5.573041
"AssiJELLY",4.41200690310204,0.010425140305675,4.349455,4.42954
"ProdJELLY",3.08568809306122,0.0089795897148369,3.030837,3.100641
