Foodweb;Fish;Foodsource;mean;std;variance;mean_proportion;mean_sd;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Zoo;0.004;0.004;0.000;8.775;8.018;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;SOM;0.000;0.000;0.000;0.000;0.000;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Biv;0.010;0.005;0.000;20.296;11.198;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Crust;0.020;0.007;0.000;41.517;14.941;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Poly;0.010;0.004;0.000;20.744;9.402;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Other;0.004;0.003;0.000;8.667;5.313;;;;;;;CALLIO;CALLIO;CALLIO
Coarse;CALLIO;Fish;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Zoo;0.000;0.000;0.000;9.643;8.848;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;SOM;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Biv;0.001;0.000;0.000;21.685;11.581;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Crust;0.001;0.001;0.000;36.605;18.164;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Poly;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Other;0.000;0.000;0.000;0.000;0.000;;;;;;;CARANG;CARANG;CARANG
Coarse;CARANG;Fish;0.001;0.000;0.000;32.067;7.470;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Zoo;0.000;0.000;0.000;1.526;1.441;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;SOM;0.000;0.000;0.000;0.000;0.000;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Biv;0.000;0.000;0.000;0.000;0.000;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Crust;0.003;0.001;0.000;15.735;6.191;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Poly;0.003;0.001;0.000;15.667;7.226;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Other;0.004;0.002;0.000;20.708;10.177;;;;;;;GADIFO;GADIFO;GADIFO
Coarse;GADIFO;Fish;0.009;0.002;0.000;46.364;11.495;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Zoo;0.000;0.000;0.000;3.771;3.512;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;SPOM;0.000;0.000;0.000;2.942;2.743;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;SOM;0.000;0.000;0.000;1.870;1.713;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Biv;0.001;0.001;0.000;8.733;4.719;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Crust;0.004;0.002;0.000;32.992;12.878;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Poly;0.006;0.002;0.000;43.231;17.045;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Other;0.000;0.000;0.000;3.814;2.735;;;;;;;GOBIFO;GOBIFO;GOBIFO
Coarse;GOBIFO;Fish;0.000;0.000;0.000;2.647;2.299;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Zoo;0.000;0.000;0.000;5.258;4.782;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;SOM;0.000;0.000;0.000;0.000;0.000;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Biv;0.000;0.000;0.000;14.072;7.369;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Crust;0.001;0.000;0.000;32.810;12.197;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Poly;0.001;0.000;0.000;29.725;11.239;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Other;0.000;0.000;0.000;13.566;7.493;;;;;;;COTTOI;COTTOI;COTTOI
Coarse;MULLIF;Fish;0.000;0.000;0.000;4.569;4.036;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Zoo;0.000;0.000;0.000;3.849;3.584;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;SOM;0.000;0.000;0.000;0.000;0.000;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Biv;0.000;0.000;0.000;10.524;5.700;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Crust;0.000;0.000;0.000;29.976;11.938;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Poly;0.000;0.000;0.000;39.399;14.987;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Other;0.000;0.000;0.000;6.952;4.671;;;;;;;PERCOI;PERCOI;PERCOI
Coarse;COTTOI;Fish;0.000;0.000;0.000;9.301;6.796;;;;;;;SCORPA;SCORPA;SCORPA
Coarse;PERCOI;Phyto;0.000;0.000;0.000;0.000;0.000;;;;;;;SCORPA;SCORPA;SCORPA
Coarse;PERCOI;Zoo;0.000;0.000;0.000;4.682;4.365;;;;;;;SCORPA;SCORPA;SCORPA
Coarse;PERCOI;SPOM;0.000;0.000;0.000;0.000;0.000;;;;;;;SCORPA;SCORPA;SCORPA
Coarse;PERCOI;SOM;0.000;0.000;0.000;2.758;2.420;;;;;;;SCORPA;SCORPA;SCORPA
Coarse;PERCOI;Biv;0.000;0.000;0.000;0.000;0.000;;;;;;;SCORPA;SCORPA;SCORPA
