fish foodsource foodweb1 foodweb2 t_stat df p_value
1 CALLIO Phyto Coarse Fine NA NA NA
2 CALLIO Phyto Coarse OWF NA NA NA
3 CALLIO Phyto Fine OWF NA NA NA
4 CALLIO Zoo Coarse Fine 36.9207362986793 16486.6806796739 8.93299931866604e-287
5 CALLIO Zoo Coarse OWF 27.0133841530311 10000.2346263949 3.48651577970551e-155
6 CALLIO Zoo Fine OWF -26.6466273676126 10002.3507726217 3.41487062861362e-151
7 CALLIO SPOM Coarse Fine NA NA NA
8 CALLIO SPOM Coarse OWF NA NA NA
9 CALLIO SPOM Fine OWF NA NA NA
10 CALLIO SOM Coarse Fine NA NA NA
11 CALLIO SOM Coarse OWF NA NA NA
12 CALLIO SOM Fine OWF NA NA NA
13 CALLIO Biv Coarse Fine 0.159328037935735 19202.9037745643 0.873412107454674
14 CALLIO Biv Coarse OWF 59.7770817480623 9999.97027500121 0
15 CALLIO Biv Fine OWF 73.2245389023153 10000.4660170227 0
16 CALLIO Crust Coarse Fine 138.056502117006 15536.136497305 0
17 CALLIO Crust Coarse OWF 58.4345368848805 10000.3553062885 0
18 CALLIO Crust Fine OWF -180.267134555039 10003.4853167642 0
19 CALLIO Poly Coarse Fine -101.122447036046 18124.8615158198 0
20 CALLIO Poly Coarse OWF -118.615726133865 10001.687813051 0
21 CALLIO Poly Fine OWF 39.4011250321427 10000.3800845274 9.25599537251957e-316
22 CALLIO Other Coarse Fine -108.475784411375 16999.6010411338 0
23 CALLIO Other Coarse OWF -121.180241113599 10003.310187047 0
24 CALLIO Other Fine OWF 51.2788687343991 10000.7605980036 0
25 CALLIO Fish Coarse Fine NA NA NA
26 CALLIO Fish Coarse OWF NA NA NA
27 CALLIO Fish Fine OWF NA NA NA
28 CARANG Phyto Coarse Fine NA NA NA
29 CARANG Phyto Coarse OWF NA NA NA
30 CARANG Phyto Fine OWF NA NA NA
31 CARANG Zoo Coarse Fine 11.4706277453418 19436.8639672463 2.32075409222403e-30
32 CARANG Zoo Coarse OWF 18.839809364067 10000.2876950664 7.86270341479934e-78
33 CARANG Zoo Fine OWF 4.56171438712136 10000.8148511687 5.13414806750147e-06
34 CARANG SPOM Coarse Fine NA NA NA
35 CARANG SPOM Coarse OWF NA NA NA
36 CARANG SPOM Fine OWF NA NA NA
37 CARANG SOM Coarse Fine NA NA NA
38 CARANG SOM Coarse OWF NA NA NA
39 CARANG SOM Fine OWF NA NA NA
40 CARANG Biv Coarse Fine -55.8030072878087 18902.1706281472 0
41 CARANG Biv Coarse OWF 187.246351783093 9999 0
42 CARANG Biv Fine OWF 217.318473488686 9999 0
43 CARANG Crust Coarse Fine 15.7604462043371 19506.5114156219 1.28334922278876e-55
44 CARANG Crust Coarse OWF -158.792915351143 10001.5721601834 0
45 CARANG Crust Fine OWF -210.655244402086 10002.5428064442 0
46 CARANG Poly Coarse Fine NA NA NA
47 CARANG Poly Coarse OWF NA NA NA
48 CARANG Poly Fine OWF NA NA NA
49 CARANG Other Coarse Fine NA NA NA
50 CARANG Other Coarse OWF -11032.5581395349 9999 0
51 CARANG Other Fine OWF -11032.5581395349 9999 0
52 CARANG Fish Coarse Fine 35.2433342989336 15679.6073617446 6.37545235958526e-262
53 CARANG Fish Coarse OWF 200.53588002311 10001.5893049678 0
54 CARANG Fish Fine OWF 71.592606843341 9999.80695120299 0
55 GADIFO Phyto Coarse Fine NA NA NA
56 GADIFO Phyto Coarse OWF NA NA NA
57 GADIFO Phyto Fine OWF NA NA NA
58 GADIFO Zoo Coarse Fine -49.1111983003686 14132.1789647666 0
59 GADIFO Zoo Coarse OWF 9.29865900671381 10000.8876204334 1.72006444156636e-20
60 GADIFO Zoo Fine OWF 58.4887507477585 9999.40839442827 0
61 GADIFO SPOM Coarse Fine NA NA NA
62 GADIFO SPOM Coarse OWF NA NA NA
63 GADIFO SPOM Fine OWF NA NA NA
64 GADIFO SOM Coarse Fine NA NA NA
65 GADIFO SOM Coarse OWF NA NA NA
66 GADIFO SOM Fine OWF NA NA NA
67 GADIFO Biv Coarse Fine -105.901287553648 9999 0
68 GADIFO Biv Coarse OWF -10291.6666666667 9999 0
69 GADIFO Biv Fine OWF 61.7304758159276 9999.36836191481 0
70 GADIFO Crust Coarse Fine 23.2074622046098 19977.3384574239 1.37242787924977e-117
71 GADIFO Crust Coarse OWF -124.802680411596 10001.4125858433 0
72 GADIFO Crust Fine OWF -162.241440006093 10001.572918368 0
73 GADIFO Poly Coarse Fine -55.2856598543118 19476.0021797548 0
74 GADIFO Poly Coarse OWF -80.7741705528111 10000.7709588563 0
75 GADIFO Poly Fine OWF 4.00034197417381 10000.2726749782 6.37066750846231e-05
76 GADIFO Other Coarse Fine -59.1637348624425 18373.8822597172 0
77 GADIFO Other Coarse OWF 29.6544998037828 9999.81578126568 2.66187572718574e-185
78 GADIFO Other Fine OWF 95.283876452642 9999.44187001881 0
79 GADIFO Fish Coarse Fine 129.796429621293 18937.2284242576 0
80 GADIFO Fish Coarse OWF 101.317675174296 10000.8312767411 0
81 GADIFO Fish Fine OWF -81.1256399904447 10001.9668817713 0
82 GOBIFO Phyto Coarse Fine NA NA NA
83 GOBIFO Phyto Coarse OWF NA NA NA
84 GOBIFO Phyto Fine OWF NA NA NA
85 GOBIFO Zoo Coarse Fine 13.4748166864431 19534.670362251 3.36198539810684e-41
86 GOBIFO Zoo Coarse OWF -26.1084294160969 10002.1389391146 2.02351654017608e-145
87 GOBIFO Zoo Fine OWF -51.2083525501574 10003.281786819 0
88 GOBIFO SPOM Coarse Fine 15.6211026659256 19255.085760215 1.13272205967391e-54
89 GOBIFO SPOM Coarse OWF -45.2016415603463 10002.8379748639 0
90 GOBIFO SPOM Fine OWF -79.7928711764865 10004.7142746186 0
91 GOBIFO SOM Coarse Fine 14.2624674672979 19462.800534976 6.38958542191293e-46
92 GOBIFO SOM Coarse OWF -86.6192286054561 10004.7314934211 0
93 GOBIFO SOM Fine OWF -124.474728111279 10007.0102435185 0
94 GOBIFO Biv Coarse Fine -42.7257041094151 19179.9796309608 0
95 GOBIFO Biv Coarse OWF -80.2205338521464 10003.1524500408 0
96 GOBIFO Biv Fine OWF -10.0525873949304 10001.7309117558 1.15889868659356e-23
97 GOBIFO Crust Coarse Fine 81.7620091828262 18533.5551811985 0
98 GOBIFO Crust Coarse OWF 75.0715955435092 10000.1580888292 0
99 GOBIFO Crust Fine OWF -36.1544525566932 10001.0637360649 4.01546825743848e-269
100 GOBIFO Poly Coarse Fine 9.49523739093078 19369.9478416365 2.44498540826394e-21
101 GOBIFO Poly Coarse OWF 12.5898529449207 10000.110196857 4.50565922270169e-36
102 GOBIFO Poly Fine OWF 0.27448227802743 10000.5978209322 0.783719690470949
103 GOBIFO Other Coarse Fine -143.543907134037 12484.9857838735 0
104 GOBIFO Other Coarse OWF -168.780012729904 10006.5097171647 0
105 GOBIFO Other Fine OWF 92.3444838320546 9999.94843633626 0
106 GOBIFO Fish Coarse Fine -42.7840424800054 16941.7973135282 0
107 GOBIFO Fish Coarse OWF 10.0473440982015 10001.0015400712 1.22160263198351e-23
108 GOBIFO Fish Fine OWF 57.0745791897891 9999.80817443881 0
109 MULLIF Phyto Coarse OWF NA NA NA
110 MULLIF Zoo Coarse OWF 43.1610076253847 9999.78706378409 0
111 MULLIF SPOM Coarse OWF NA NA NA
112 MULLIF SOM Coarse OWF NA NA NA
113 MULLIF Biv Coarse OWF 95.1811883732051 9999.5601426797 0
114 MULLIF Crust Coarse OWF -56.7819313636221 10000.77777254 0
115 MULLIF Poly Coarse OWF -33.0173704990711 10000.9156518702 5.22109643309386e-227
116 MULLIF Other Coarse OWF -14.145809151468 10001.0573220406 5.37568242090828e-45
117 MULLIF Fish Coarse OWF 64.8904055385812 9999.35479875853 0
118 COTTOI Phyto Coarse Fine NA NA NA
119 COTTOI Phyto Coarse OWF NA NA NA
120 COTTOI Phyto Fine OWF NA NA NA
121 COTTOI Zoo Coarse Fine 18.620711426945 18894.8364543061 1.0604047805897e-76
122 COTTOI Zoo Coarse OWF 83.9283623439049 9999.09963926977 0
123 COTTOI Zoo Fine OWF 77.1507028183748 9999.1631324356 0
124 COTTOI SPOM Coarse Fine NA NA NA
125 COTTOI SPOM Coarse OWF NA NA NA
126 COTTOI SPOM Fine OWF NA NA NA
127 COTTOI SOM Coarse Fine NA NA NA
128 COTTOI SOM Coarse OWF NA NA NA
129 COTTOI SOM Fine OWF NA NA NA
130 COTTOI Biv Coarse Fine -14.8465547075507 19997.8215875675 1.34575113916488e-49
131 COTTOI Biv Coarse OWF 136.368066386992 9999.10402160664 0
132 COTTOI Biv Fine OWF 157.803563898735 9999.10464487332 0
133 COTTOI Crust Coarse Fine -28.7518764346862 19070.7733401942 5.30274063243894e-178
134 COTTOI Crust Coarse OWF -324.806858669924 9999.57475580001 0
135 COTTOI Crust Fine OWF -222.772088504742 9999.36708074265 0
136 COTTOI Poly Coarse Fine -6.77750156693284 19985.7202460561 1.25679762640704e-11
137 COTTOI Poly Coarse OWF 128.590236510631 9999.37616974488 0
138 COTTOI Poly Fine OWF 141.523909081218 9999.39529246131 0
139 COTTOI Other Coarse Fine -23.511405802282 19968.2223867038 1.35288211694181e-120
140 COTTOI Other Coarse OWF 39.7982758289199 9999.48486685951 1.14623229835169e-321
141 COTTOI Other Fine OWF 70.9157850742633 9999.44881128397 0
142 COTTOI Fish Coarse Fine 130.007566711209 10065.5345387163 0
143 COTTOI Fish Coarse OWF 101.014948801527 9999.14028939225 0
144 COTTOI Fish Fine OWF -505.844546114854 10041.1655247456 0
145 PERCOI Phyto Coarse Fine NA NA NA
146 PERCOI Phyto Coarse OWF NA NA NA
147 PERCOI Phyto Fine OWF NA NA NA
148 PERCOI Zoo Coarse Fine 2.83970481186158 19918.2439236388 0.00452010344323951
149 PERCOI Zoo Coarse OWF 25.4516906794476 10000.2133215198 1.6292689696324e-138
150 PERCOI Zoo Fine OWF 22.967234528929 10000.3772490078 8.43475596260291e-114
151 PERCOI SPOM Coarse Fine NA NA NA
152 PERCOI SPOM Coarse OWF NA NA NA
153 PERCOI SPOM Fine OWF NA NA NA
154 PERCOI SOM Coarse Fine 12.6337933875285 19517.8381587258 1.90974697943969e-36
155 PERCOI SOM Coarse OWF 24.0075245387265 10000.2327159983 7.10466012719781e-124
156 PERCOI SOM Fine OWF 8.66371882565923 10000.6913486008 5.27265753672228e-18
157 PERCOI Biv Coarse Fine NA NA NA
158 PERCOI Biv Coarse OWF NA NA NA
159 PERCOI Biv Fine OWF NA NA NA
160 PERCOI Crust Coarse Fine -2.43373818988076 19670.3204892933 0.0149526407678008
161 PERCOI Crust Coarse OWF 35.6116038992569 10000.0246231027 1.27581186259416e-261
162 PERCOI Crust Fine OWF 34.5161422613865 9999.79036591506 9.40028601553932e-247
163 PERCOI Poly Coarse Fine -33.5827941246251 19837.8490276621 1.57118132233665e-240
164 PERCOI Poly Coarse OWF 76.4779812013257 9999.93074665671 0
165 PERCOI Poly Fine OWF 115.381916345378 9999.77728061275 0
166 PERCOI Other Coarse Fine NA NA NA
167 PERCOI Other Coarse OWF -15034.2105263158 9999 0
168 PERCOI Other Fine OWF -15034.2105263158 9999 0
169 PERCOI Fish Coarse Fine 108.55368847865 10484.1106393871 0
170 PERCOI Fish Coarse OWF -104.545315278154 10000.8060506736 0
171 PERCOI Fish Fine OWF -1373.69445860509 10073.4070182501 0
172 SCORPA Phyto Coarse Fine NA NA NA
173 SCORPA Phyto Coarse OWF NA NA NA
174 SCORPA Phyto Fine OWF NA NA NA
175 SCORPA Zoo Coarse Fine -32.4491883986899 18154.5349355591 1.38776384039188e-224
176 SCORPA Zoo Coarse OWF 43.8114009731336 9999.75983642439 0
177 SCORPA Zoo Fine OWF 71.4546496580459 9999.3926024898 0
178 SCORPA SPOM Coarse Fine NA NA NA
179 SCORPA SPOM Coarse OWF NA NA NA
180 SCORPA SPOM Fine OWF NA NA NA
181 SCORPA SOM Coarse Fine NA NA NA
182 SCORPA SOM Coarse OWF NA NA NA
183 SCORPA SOM Fine OWF NA NA NA
184 SCORPA Biv Coarse Fine NA NA NA
185 SCORPA Biv Coarse OWF -18209.756097561 9999 0
186 SCORPA Biv Fine OWF -18209.756097561 9999 0
187 SCORPA Crust Coarse Fine -25.3768214044354 19149.2495243754 9.22173056382642e-140
188 SCORPA Crust Coarse OWF 35.2897124994875 9999.7473231855 3.25261694475039e-257
189 SCORPA Crust Fine OWF 61.11722295139 9999.48738085673 0
190 SCORPA Poly Coarse Fine NA NA NA
191 SCORPA Poly Coarse OWF -30871.6216216216 9999 0
